2023-08-26T00:21:54.328-03:00  INFO [movies, , ] 42836 --- [restartedMain] com.ecran.api.movies.MoviesApplication   : Starting MoviesApplication using Java 17.0.8 with PID 42836 (/home/adrianmoncada/Code/equipo-01/backend/users-stack/ApiMovies/target/classes started by adrianmoncada in /home/adrianmoncada/Code/equipo-01/backend/users-stack/ApiMovies)
2023-08-26T00:21:54.347-03:00  INFO [movies, , ] 42836 --- [restartedMain] com.ecran.api.movies.MoviesApplication   : No active profile set, falling back to 1 default profile: "default"
2023-08-26T00:21:54.603-03:00  INFO [movies, , ] 42836 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-08-26T00:21:54.604-03:00  INFO [movies, , ] 42836 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-08-26T00:21:59.879-03:00  INFO [movies, , ] 42836 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=7c2ebb67-ba52-3524-9ef3-1377f8ed0ea8
2023-08-26T00:22:03.830-03:00  INFO [movies, , ] 42836 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 0 (http)
2023-08-26T00:22:03.914-03:00  INFO [movies, , ] 42836 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2023-08-26T00:22:03.928-03:00  INFO [movies, , ] 42836 --- [restartedMain] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.5]
2023-08-26T00:22:04.204-03:00  INFO [movies, , ] 42836 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2023-08-26T00:22:04.217-03:00  INFO [movies, , ] 42836 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 9609 ms
2023-08-26T00:22:08.912-03:00  INFO [movies, , ] 42836 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : LiveReload server is running on port 35729
2023-08-26T00:22:09.085-03:00  INFO [movies, , ] 42836 --- [restartedMain] DiscoveryClientOptionalArgsConfiguration : Eureka HTTP Client uses RestTemplate.
2023-08-26T00:22:09.225-03:00  WARN [movies, , ] 42836 --- [restartedMain] iguration$LoadBalancerCaffeineWarnLogger : Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2023-08-26T00:22:09.254-03:00  INFO [movies, , ] 42836 --- [restartedMain] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 1 endpoint(s) beneath base path '/actuator'
2023-08-26T00:22:09.853-03:00  INFO [movies, , ] 42836 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 34323 (http) with context path ''
2023-08-26T00:22:09.867-03:00  INFO [movies, , ] 42836 --- [restartedMain] .s.c.n.e.s.EurekaAutoServiceRegistration : Updating port to 34323
2023-08-26T00:22:09.933-03:00  INFO [movies, , ] 42836 --- [restartedMain] o.s.c.n.eureka.InstanceInfoFactory       : Setting initial instance status as: STARTING
2023-08-26T00:22:10.398-03:00  INFO [movies, , ] 42836 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Initializing Eureka in region us-east-1
2023-08-26T00:22:10.452-03:00  INFO [movies, , ] 42836 --- [restartedMain] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2023-08-26T00:22:10.555-03:00  INFO [movies, , ] 42836 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Disable delta property : false
2023-08-26T00:22:10.562-03:00  INFO [movies, , ] 42836 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Single vip registry refresh property : null
2023-08-26T00:22:10.578-03:00  INFO [movies, , ] 42836 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Force full registry fetch : false
2023-08-26T00:22:10.582-03:00  INFO [movies, , ] 42836 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Application is null : false
2023-08-26T00:22:10.582-03:00  INFO [movies, , ] 42836 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Registered Applications size is zero : true
2023-08-26T00:22:10.583-03:00  INFO [movies, , ] 42836 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Application version is -1: true
2023-08-26T00:22:10.583-03:00  INFO [movies, , ] 42836 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Getting all instance registry info from the eureka server
2023-08-26T00:22:11.852-03:00  INFO [movies, , ] 42836 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : The response status is 200
2023-08-26T00:22:11.864-03:00  INFO [movies, , ] 42836 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Starting heartbeat executor: renew interval is: 30
2023-08-26T00:22:11.867-03:00  INFO [movies, , ] 42836 --- [restartedMain] c.n.discovery.InstanceInfoReplicator     : InstanceInfoReplicator onDemand update allowed rate per min is 4
2023-08-26T00:22:11.885-03:00  INFO [movies, , ] 42836 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Discovery Client initialized at timestamp 1693020131877 with initial instances count: 2
2023-08-26T00:22:11.890-03:00  INFO [movies, , ] 42836 --- [restartedMain] o.s.c.n.e.s.EurekaServiceRegistry        : Registering application MOVIES with eureka with status UP
2023-08-26T00:22:11.891-03:00  INFO [movies, , ] 42836 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Saw local status change event StatusChangeEvent [timestamp=1693020131891, current=UP, previous=STARTING]
2023-08-26T00:22:11.893-03:00  INFO [movies, , ] 42836 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_MOVIES/movies:ceb8b5f90ed2bf5b985ab87e0e0aa9b4: registering service...
2023-08-26T00:22:12.063-03:00  INFO [movies, , ] 42836 --- [restartedMain] com.ecran.api.movies.MoviesApplication   : Started MoviesApplication in 19.441 seconds (process running for 21.057)
2023-08-26T00:22:12.072-03:00  INFO [movies, , ] 42836 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_MOVIES/movies:ceb8b5f90ed2bf5b985ab87e0e0aa9b4 - registration status: 204
2023-08-26T00:22:12.515-03:00  INFO [movies, , ] 42836 --- [SpringApplicationShutdownHook] o.s.c.n.e.s.EurekaServiceRegistry        : Unregistering application MOVIES with eureka with status DOWN
2023-08-26T00:22:12.516-03:00  INFO [movies, , ] 42836 --- [SpringApplicationShutdownHook] com.netflix.discovery.DiscoveryClient    : Saw local status change event StatusChangeEvent [timestamp=1693020132516, current=DOWN, previous=UP]
2023-08-26T00:22:12.519-03:00  INFO [movies, , ] 42836 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_MOVIES/movies:ceb8b5f90ed2bf5b985ab87e0e0aa9b4: registering service...
2023-08-26T00:22:12.528-03:00  INFO [movies, , ] 42836 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_MOVIES/movies:ceb8b5f90ed2bf5b985ab87e0e0aa9b4 - registration status: 204
2023-08-26T00:22:13.587-03:00  INFO [movies, , ] 42836 --- [SpringApplicationShutdownHook] com.netflix.discovery.DiscoveryClient    : Shutting down DiscoveryClient ...
2023-08-26T00:22:16.589-03:00  INFO [movies, , ] 42836 --- [SpringApplicationShutdownHook] com.netflix.discovery.DiscoveryClient    : Unregistering ...
2023-08-26T00:22:16.598-03:00  INFO [movies, , ] 42836 --- [SpringApplicationShutdownHook] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_MOVIES/movies:ceb8b5f90ed2bf5b985ab87e0e0aa9b4 - deregister  status: 200
2023-08-26T00:22:16.618-03:00  INFO [movies, , ] 42836 --- [SpringApplicationShutdownHook] com.netflix.discovery.DiscoveryClient    : Completed shut down of DiscoveryClient
